ADTF_CHUNK_TIME,INS_ANGLE_TRUE_HEADING,INS_Pos_Abs_Latitude,INS_Pos_Abs_Longitude,INS_Vel_Frame_X,INS_Vel_Frame_Y,INS_Vel_Frame_Z
3779,26134,348440354,-1168268795,-1007,6613,101
13784,26134,348440350,-1168268757,-1007,6612,101
24042,26134,348440345,-1168268721,-1007,6613,100
50264,26134,348440341,-1168268685,-1007,6613,100
50845,26134,348440336,-1168268650,-1007,6612,99
55046,26134,348440332,-1168268614,-1006,6612,99
63750,26135,348440327,-1168268576,-1006,6612,98
75114,26135,348440323,-1168268541,-1006,6612,98
86074,26135,348440318,-1168268505,-1006,6612,97
93594,26135,348440313,-1168268469,-1006,6612,97
104038,26135,348440309,-1168268433,-1006,6612,96
114744,26135,348440304,-1168268396,-1005,6612,96
123878,26135,348440300,-1168268360,-1005,6612,95
133578,26136,348440295,-1168268324,-1005,6612,95
144778,26136,348440291,-1168268288,-1005,6612,95
153976,26136,348440286,-1168268252,-1005,6612,94
163737,26136,348440282,-1168268215,-1005,6612,94
174726,26136,348440277,-1168268179,-1005,6612,93
184354,26136,348440273,-1168268143,-1005,6612,93
194251,26136,348440268,-1168268107,-1004,6612,92
203948,26136,348440264,-1168268072,-1005,6612,92
214114,26136,348440259,-1168268034,-1004,6611,92
223697,26136,348440255,-1168267998,-1004,6612,93
233626,26137,348440250,-1168267963,-1004,6611,93
243593,26137,348440246,-1168267927,-1004,6611,93
253794,26137,348440241,-1168267891,-1004,6611,92
264595,26137,348440237,-1168267854,-1004,6611,92
273653,26137,348440232,-1168267818,-1003,6612,91
283592,26137,348440227,-1168267782,-1003,6611,91
293585,26137,348440223,-1168267746,-1003,6611,92
303787,26137,348440218,-1168267710,-1003,6611,92
313749,26137,348440214,-1168267673,-1002,6611,92
323663,26138,348440209,-1168267637,-1002,6611,91
333597,26138,348440205,-1168267601,-1002,6611,91
343765,26138,348440200,-1168267565,-1001,6611,90
353785,26138,348440196,-1168267529,-1002,6611,90
363738,26138,348440191,-1168267492,-1001,6611,91
374809,26138,348440187,-1168267456,-1001,6611,90
383586,26138,348440182,-1168267420,-1001,6611,90
393615,26138,348440178,-1168267385,-1001,6611,90
403794,26138,348440173,-1168267349,-1001,6611,90
413735,26138,348440169,-1168267311,-1001,6610,90
423687,26138,348440164,-1168267276,-1001,6610,91
433632,26138,348440160,-1168267240,-1000,6611,90
443598,26138,348440155,-1168267204,-1000,6610,90
453905,26138,348440151,-1168267168,-1000,6610,90
463730,26138,348440146,-1168267131,-1000,6610,90
473683,26138,348440142,-1168267095,-1000,6610,90
483597,26138,348440137,-1168267059,-1000,6610,90
493622,26138,348440133,-1168267023,-1000,6610,90
503793,26138,348440128,-1168266987,-1000,6610,90
513758,26138,348440124,-1168266950,-1000,6609,90
523666,26138,348440119,-1168266914,-1000,6609,91
533588,26138,348440115,-1168266878,-999,6610,91
543583,26138,348440110,-1168266843,-1000,6609,92
553788,26138,348440106,-1168266807,-1000,6609,92
564325,26138,348440101,-1168266769,-999,6610,92
573655,26138,348440097,-1168266734,-999,6610,92
583581,26139,348440092,-1168266698,-999,6609,92
593589,26139,348440088,-1168266662,-999,6609,92
604598,26139,348440083,-1168266626,-999,6609,93
613718,26139,348440079,-1168266589,-999,6609,93
623649,26139,348440074,-1168266553,-999,6609,93
633596,26139,348440070,-1168266517,-999,6609,93
643585,26139,348440065,-1168266481,-999,6609,93
653770,26139,348440061,-1168266446,-998,6609,93
664093,26139,348440056,-1168266408,-999,6609,94
673642,26139,348440052,-1168266372,-998,6609,94
683585,26139,348440047,-1168266337,-998,6609,94
693643,26139,348440043,-1168266301,-998,6609,94
703782,26139,348440038,-1168266265,-998,6609,93
713747,26139,348440034,-1168266228,-998,6609,93
724092,26139,348440029,-1168266192,-998,6609,93
733573,26139,348440025,-1168266156,-998,6609,94
743581,26139,348440020,-1168266120,-997,6609,93
753804,26140,348440016,-1168266084,-998,6609,92
763726,26140,348440011,-1168266047,-998,6609,92
773645,26140,348440007,-1168266011,-997,6608,92
783559,26140,348440002,-1168265975,-997,6608,92
793589,26140,348439998,-1168265939,-997,6608,91
803853,26140,348439993,-1168265904,-997,6608,91
813720,26140,348439989,-1168265866,-997,6608,91
823945,26140,348439984,-1168265830,-997,6608,90
833584,26140,348439980,-1168265795,-996,6608,90
843592,26140,348439975,-1168265759,-996,6608,90
