ADTF_CHUNK_TIME,INS_ANGLE_TRUE_HEADING,INS_Pos_Abs_Latitude,INS_Pos_Abs_Longitude,INS_Vel_Frame_X,INS_Vel_Frame_Y,INS_Vel_Frame_Z,System_TimeSinceInit,GPS_Time_Milliseconds,GPS_Time_Weeks,INS_Time_Milliseconds,INS_Time_Week,INS_Angle_Roll,INS_Angle_Pitch,AccelBodyX,AccelBodyY,AccelBodyZ,AccelHorizontalX,AccelHorizontalY,AccelHorizontalZ
15984,11792,506841276,56014343,-2340,-4419,-47,5242,292079350,2115,292079370,2115,102,-81,26,65,2424,-7,21,2423
18864,11792,506841265,56014312,-2340,-4419,-47,5242,292079350,2115,292079380,2115,102,-81,23,46,2463,-10,2,2462
29324,11793,506841255,56014281,-2339,-4419,-46,5242,292079350,2115,292079390,2115,102,-81,27,35,2457,-6,-9,2456
38806,11793,506841244,56014250,-2339,-4419,-46,5242,292079350,2115,292079400,2115,102,-81,29,53,2444,-4,9,2443
49035,11793,506841234,56014219,-2340,-4419,-46,5242,292079350,2115,292079410,2115,102,-81,28,60,2448,-5,16,2447
59299,11793,506841223,56014187,-2340,-4419,-45,5242,292079400,2115,292079420,2115,102,-81,22,49,2457,-10,5,2456
68883,11793,506841213,56014156,-2340,-4419,-45,5242,292079400,2115,292079430,2115,102,-81,40,15,2495,7,-30,2494
78824,11793,506841202,56014125,-2340,-4419,-45,5242,292079400,2115,292079440,2115,103,-81,20,73,2461,-13,28,2460
88828,11793,506841192,56014094,-2340,-4419,-44,5242,292079400,2115,292079450,2115,103,-81,28,62,2462,-5,17,2462
99073,11793,506841181,56014063,-2340,-4419,-44,5242,292079400,2115,292079460,2115,103,-81,16,26,2497,-18,-19,2496
108925,11793,506841171,56014030,-2340,-4418,-44,5242,292079450,2115,292079470,2115,103,-82,26,62,2506,-8,17,2505
118876,11793,506841160,56013999,-2340,-4418,-44,5242,292079450,2115,292079480,2115,103,-82,20,71,2475,-14,26,2474
128778,11793,506841150,56013968,-2340,-4418,-44,5243,292079450,2115,292079490,2115,103,-82,20,41,2503,-14,-4,2501
138790,11793,506841139,56013937,-2340,-4418,-44,5243,292079450,2115,292079500,2115,103,-83,20,21,2479,-14,-24,2477
149465,11793,506841129,56013906,-2340,-4418,-44,5243,292079450,2115,292079510,2115,103,-83,28,49,2468,-6,4,2467
158935,11793,506841118,56013874,-2340,-4418,-44,5243,292079500,2115,292079520,2115,103,-83,32,65,2513,-3,19,2512
168858,11793,506841108,56013843,-2340,-4418,-44,5243,292079500,2115,292079530,2115,103,-84,34,33,2530,-1,-13,2529
178880,11793,506841097,56013812,-2340,-4418,-44,5243,292079500,2115,292079540,2115,103,-84,23,70,2553,-13,24,2552
188791,11793,506841086,56013781,-2340,-4418,-45,5243,292079500,2115,292079550,2115,103,-85,16,43,2574,-20,-4,2572
199060,11792,506841076,56013750,-2339,-4418,-45,5243,292079500,2115,292079560,2115,103,-85,45,33,2548,9,-13,2547
208897,11792,506841065,56013718,-2340,-4417,-44,5243,292079550,2115,292079570,2115,103,-86,-46,113,2417,-81,69,2416
218872,11792,506841055,56013687,-2339,-4417,-46,5243,292079550,2115,292079580,2115,104,-86,18,-11,2646,-20,-60,2643
228821,11792,506841044,56013656,-2339,-4417,-46,5243,292079550,2115,292079590,2115,104,-86,13,-46,2519,-23,-92,2516
239550,11792,506841034,56013625,-2339,-4417,-46,5243,292079550,2115,292079600,2115,104,-86,74,139,2580,36,92,2581
249076,11792,506841023,56013594,-2340,-4417,-46,5243,292079550,2115,292079610,2115,104,-87,44,120,2519,7,74,2519
258945,11792,506841013,56013561,-2339,-4417,-47,5243,292079600,2115,292079620,2115,104,-87,17,-10,2513,-19,-56,2510
268926,11792,506841002,56013530,-2339,-4417,-47,5243,292079600,2115,292079630,2115,103,-87,-20,25,2513,-56,-21,2510
278809,11792,506840992,56013499,-2339,-4416,-47,5243,292079600,2115,292079640,2115,103,-87,-21,62,2542,-58,16,2540
288792,11792,506840981,56013468,-2339,-4416,-48,5243,292079600,2115,292079650,2115,104,-87,22,53,2574,-15,6,2572
299826,11792,506840971,56013437,-2339,-4416,-48,5243,292079600,2115,292079660,2115,104,-87,28,-4,2623,-10,-52,2621
